Date,q
2013-08-02,33.2942
2013-08-05,33.182
2013-08-06,33.453
2013-08-07,32.911
2013-08-08,32.8736
2013-08-09,33.6866
2013-08-12,34.3314
2013-08-13,34.593
2013-08-14,34.6211
2013-08-15,34.7145
2013-08-16,34.7612
2013-08-19,34.3314
2013-08-20,34.2473
2013-08-21,33.6399
2013-08-22,32.6587
2013-08-23,33.3596
2013-08-26,33.2661
2013-08-27,33.1353
2013-08-28,32.6213
2013-08-29,32.8456
2013-08-30,32.8643
2013-09-02,33.1353
2013-09-03,33.481
2013-09-04,33.2287
2013-09-05,33.2848
2013-09-06,33.0512
2013-09-09,33.21
2013-09-10,33.5745
2013-09-11,33.8268
2013-09-12,33.9669
2013-09-13,33.8548
2013-09-16,34.0417
2013-09-17,33.7801
2013-09-18,33.6025
2013-09-19,34.4061
2013-09-20,33.8548
2013-09-23,33.5278
2013-09-24,33.4717
2013-09-25,33.3596
2013-09-26,33.6773
2013-09-27,34.0043
2013-09-30,33.6492
2013-10-01,33.3315
2013-10-02,32.9858
2013-10-03,33.3502
2013-10-04,32.9391
2013-10-07,32.7709
2013-10-08,32.6307
2013-10-09,32.2569
2013-10-10,32.3784
2013-10-11,32.7428
2013-10-14,32.7989
2013-10-15,33.2942
2013-10-16,33.2194
2013-10-17,33.3596
2013-10-18,33.5184
2013-10-21,33.6773
2013-10-22,34.2566
2013-10-23,34.9761
2013-10-24,34.8547
2013-10-25,35.0976
2013-10-28,35.2378
2013-10-29,35.2191
2013-10-30,35.3312
2013-10-31,34.9575
2013-11-01,34.9481
2013-11-04,35.0602
2013-11-05,35.2938
2013-11-06,35.3686
2013-11-07,35.6489
2013-11-08,35.4527
2013-11-11,35.733
2013-11-12,35.5088
2013-11-13,35.3499
2013-11-14,35.2845
2013-11-15,35.1911
2013-11-18,35.4901
2013-11-19,35.2845
2013-11-20,35.1163
2013-11-21,35.0229
2013-11-22,35.2938
2013-11-25,35.2004
2013-11-26,35.135
2013-11-27,35.0415
2013-11-28,34.864
2013-11-29,34.9668
2013-12-02,35.0135
2013-12-03,34.3127
2013-12-04,33.8735
2013-12-05,34.5743
2013-12-06,34.4715
2013-12-09,34.6584
2013-12-10,34.5556
2013-12-11,34.023
2013-12-12,33.8081
2013-12-13,33.3689
2013-12-16,33.1446
2013-12-17,33.4997
2013-12-18,33.5278
2013-12-19,34.0043
2013-12-20,34.4435
2013-12-23,34.7612
2013-12-24,34.6304
2013-12-27,35.1256
2013-12-30,35.3406
2013-12-31,35.4807
2014-01-02,35.6209
2014-01-03,35.3219
2014-01-06,35.2938
2014-01-07,34.9481
2014-01-08,34.7238
2014-01-09,34.6397
2014-01-10,34.1071
2014-01-13,34.1819
2014-01-14,33.8642
2014-01-15,33.9109
2014-01-16,34.0697
2014-01-17,35.3219
2014-01-20,35.5462
2014-01-21,35.3593
2014-01-22,34.9761
2014-01-23,34.9481
2014-01-24,34.3875
2014-01-28,33.8455
2014-01-29,34.3314
2014-01-30,34.051
2014-01-31,34.2192
2014-02-03,34.1538
2014-02-04,33.5371
2014-02-05,33.2194
2014-02-06,33.2661
2014-02-07,33.8548
2014-02-10,34.0324
2014-02-11,33.995
2014-02-12,34.6211
2014-02-13,34.8827
2014-02-14,35.2004
2014-02-17,35.3686
2014-02-18,35.8825
2014-02-19,36.3498
2014-02-20,36.1348
2014-02-21,36.6114
2014-02-24,36.7329
2014-02-25,36.7235
2014-02-26,36.0975
2014-02-27,35.99
2014-02-28,36.0508
2014-03-03,35.1817
2014-03-04,34.9014
2014-03-05,35.163
2014-03-06,35.0883
2014-03-07,35.0229
2014-03-10,34.3688
2014-03-11,33.5932
2014-03-12,33.3969
2014-03-13,33.7801
2014-03-14,33.3315
2014-03-17,33.3689
2014-03-18,33.5745
2014-03-19,33.6866
2014-03-20,33.2474
2014-03-21,33.3035
2014-03-24,33.2007
2014-03-25,33.3969
2014-03-26,34.051
2014-03-27,33.696
2014-03-28,33.7801
2014-03-31,34.1912
2014-04-01,34.1538
2014-04-02,34.9855
2014-04-03,35.135
2014-04-04,35.1817
2014-04-07,35.2471
2014-04-08,35.2191
2014-04-09,35.5929
2014-04-10,35.976
2014-04-11,35.0509
2014-04-14,35.0509
2014-04-15,35.3032
2014-04-16,35.2004
2014-04-17,35.5088
2014-04-22,35.5088
2014-04-23,35.5181
2014-04-24,35.8171
2014-04-28,35.6069
2014-04-29,35.1817
2014-04-30,35.4807
2014-05-01,35.3873
2014-05-02,34.8547
2014-05-05,35.2658
2014-05-06,35.1817
2014-05-07,35.135
2014-05-08,35.2004
2014-05-09,34.9481
2014-05-12,34.6491
2014-05-13,35.3499
2014-05-14,35.6676
2014-05-15,35.8545
2014-05-16,35.6583
2014-05-19,35.2752
2014-05-20,35.0509
2014-05-21,34.6397
2014-05-22,34.8453
2014-05-23,35.2284
2014-05-26,35.3312
2014-05-27,35.4434
2014-05-28,35.4621
2014-05-29,34.9668
2014-05-30,35.0415
